sponsor_zip,total,lat,lng,major_city,state
44052,6,41.45,-82.16,Lorain,OH
44055,2,41.43,-82.13,Lorain,OH
44056,1,41.31,-81.5,Macedonia,OH
44057,2,41.8,-81.1,Madison,OH
44060,2,41.69,-81.33,Mentor,OH
44067,3,41.31,-81.54,Northfield,OH
44070,5,41.42,-81.92,North Olmsted,OH
44072,2,41.47,-81.33,Novelty,OH
44074,2,41.29,-82.23,Oberlin,OH
44077,10,41.71,-81.2,Painesville,OH
44087,1,41.32,-81.44,Twinsburg,OH
44102,88,41.47,-81.74,Cleveland,OH
44103,9,41.52,-81.65,Cleveland,OH
44105,7,41.45,-81.63,Cleveland,OH
44106,1,41.51,-81.6,Cleveland,OH
44108,8,41.54,-81.61,Cleveland,OH
44109,32,41.45,-81.7,Cleveland,OH
44110,1,41.57,-81.57,Cleveland,OH
44111,40,41.46,-81.79,Cleveland,OH
44112,2,41.54,-81.57,Cleveland,OH
44113,5,41.48,-81.7,Cleveland,OH
44114,21,41.52,-81.67,Cleveland,OH
44116,1,41.47,-81.85,Rocky River,OH
44118,11,41.51,-81.57,Cleveland,OH
44120,8,41.47,-81.58,Cleveland,OH
44121,17,41.53,-81.53,Cleveland,OH
44122,3,41.47,-81.51,Beachwood,OH
44124,2,41.5,-81.47,Cleveland,OH
44125,1,41.4,-81.63,Cleveland,OH
44126,1,41.44,-81.85,Cleveland,OH
44127,6,41.47,-81.64,Cleveland,OH
44129,3,41.39,-81.73,Cleveland,OH
44130,6,41.39,-81.79,Cleveland,OH
44133,1,41.31,-81.74,North Royalton,OH
44134,1,41.39,-81.71,Cleveland,OH
44135,14,41.42,-81.82,Cleveland,OH
44136,3,41.31,-81.81,Strongsville,OH
44138,1,41.38,-81.92,Olmsted Falls,OH
44139,4,41.39,-81.44,Solon,OH
44143,4,41.56,-81.48,Cleveland,OH
44144,12,41.44,-81.74,Cleveland,OH
44145,2,41.44,-81.92,Westlake,OH
44146,6,41.39,-81.54,Bedford,OH
44202,1,41.32,-81.35,Aurora,OH
44203,4,41.02,-81.63,Barberton,OH
44212,1,41.23,-81.84,Brunswick,OH
44217,5,40.95,-81.91,Creston,OH
44221,3,41.14,-81.47,Cuyahoga Falls,OH
44224,2,41.18,-81.45,Stow,OH
44240,3,41.14,-81.33,Kent,OH
44241,1,41.24,-81.35,Streetsboro,OH
44256,7,41.1,-81.9,Medina,OH
44266,4,41.2,-81.2,Ravenna,OH
44276,2,40.94,-81.83,Sterling,OH
44281,5,41.1,-81.8,Wadsworth,OH
44287,3,40.9,-82.1,West Salem,OH
44301,6,41.05,-81.52,Akron,OH
44304,3,41.09,-81.51,Akron,OH
44305,8,41.08,-81.46,Akron,OH
44306,11,41.04,-81.48,Akron,OH
44310,94,41.11,-81.5,Akron,OH
44311,10,41.07,-81.52,Akron,OH
44313,2,41.15,-81.57,Akron,OH
44314,6,41.04,-81.56,Akron,OH
44320,7,41.08,-81.58,Akron,OH
44333,2,41.16,-81.63,Akron,OH
44405,9,41.08,-80.59,Campbell,OH
44406,2,41.01,-80.78,Canfield,OH
44408,2,40.9,-80.7,Columbiana,OH
44417,2,41.42,-80.66,Farmdale,OH
44420,1,41.18,-80.67,Girard,OH
44436,1,41.06,-80.55,Lowellville,OH
44446,1,41.19,-80.74,Niles,OH
44452,1,40.95,-80.66,North Lima,OH
44460,173,40.9,-80.9,Salem,OH
44481,2,41.2,-80.9,Warren,OH
44483,1,41.25,-80.82,Warren,OH
44484,3,41.23,-80.76,Warren,OH
44505,3,41.13,-80.62,Youngstown,OH
44506,4,41.09,-80.62,Youngstown,OH
44509,5,41.11,-80.69,Youngstown,OH
44511,4,41.07,-80.7,Youngstown,OH
44512,2,41.02,-80.67,Youngstown,OH
44514,1,41.01,-80.61,Youngstown,OH
44601,3,40.9,-81.1,Alliance,OH
44606,2,40.74,-81.79,Apple Creek,OH
44611,4,40.6,-82.1,Big Prairie,OH
44615,6,40.6,-81.1,Carrollton,OH
44618,2,40.8,-81.7,Dalton,OH
44620,3,40.58,-81.22,Dellroy,OH
44622,371,40.6,-81.5,Dover,OH
44624,4,40.6,-81.6,Dundee,OH
44628,1,40.5,-82.2,Glenmont,OH
44637,1,40.5,-82,Killbuck,OH
44641,5,40.9,-81.2,Louisville,OH
44645,1,40.91,-81.72,Marshallville,OH
44646,125,40.8,-81.5,Massillon,OH
44647,1,40.81,-81.58,Massillon,OH
44654,4,40.5,-81.9,Millersburg,OH
44657,4,40.7,-81.1,Minerva,OH
44662,1,40.7,-81.6,Navarre,OH
44663,316,40.5,-81.5,New Philadelphia,OH
44667,34,40.83,-81.75,Orrville,OH
44676,3,40.7,-82,Shreve,OH
44680,2,40.6,-81.54,Strasburg,OH
44681,19,40.5,-81.7,Sugarcreek,OH
44683,2,40.4,-81.3,Uhrichsville,OH
44685,1,40.96,-81.43,Uniontown,OH
44691,7,40.8,-82,Wooster,OH
44703,149,40.81,-81.38,Canton,OH
44704,10,40.8,-81.35,Canton,OH
44705,115,40.83,-81.34,Canton,OH
44706,15,40.76,-81.42,Canton,OH
44707,3,40.76,-81.35,Canton,OH
44708,39,40.81,-81.44,Canton,OH
44709,11,40.84,-81.39,Canton,OH
44710,6,40.79,-81.43,Canton,OH
44714,9,40.83,-81.36,Canton,OH
44718,9,40.84,-81.44,Canton,OH
44720,7,40.9,-81.43,North Canton,OH
44721,2,40.89,-81.32,Canton,OH
44805,3,40.9,-82.3,Ashland,OH
44818,1,41,-83,Bloomville,OH
44820,1,40.8,-83,Bucyrus,OH
44830,2,41.2,-83.4,Fostoria,OH
44833,1,40.7,-82.8,Galion,OH
44850,1,40.99,-82.68,New Haven,OH
44857,3,41.2,-82.6,Norwalk,OH
44865,2,40.98,-82.67,Plymouth,OH
44870,2,41.4,-82.7,Sandusky,OH
44875,1,40.9,-82.6,Shelby,OH
44883,1,41.1,-83.2,Tiffin,OH
44890,17,41.1,-82.7,Willard,OH
44906,3,40.76,-82.59,Mansfield,OH
45002,3,39.2,-84.74,Cleves,OH
45005,7,39.53,-84.31,Franklin,OH
45011,250,39.4,-84.5,Hamilton,OH
45013,26,39.4,-84.6,Hamilton,OH
45014,155,39.3,-84.6,Fairfield,OH
45015,29,39.36,-84.54,Hamilton,OH
45030,5,39.24,-84.73,Harrison,OH
45036,7,39.5,-84.2,Lebanon,OH
45039,1,39.33,-84.24,Maineville,OH
45040,15,39.35,-84.3,Mason,OH
45042,7,39.5,-84.4,Middletown,OH
45044,103,39.44,-84.38,Middletown,OH
45050,2,39.45,-84.36,Monroe,OH
45052,1,39.14,-84.75,North Bend,OH
45056,6,39.5,-84.7,Oxford,OH
45066,10,39.54,-84.22,Springboro,OH
45067,1,39.49,-84.48,Trenton,OH
45069,93,39.34,-84.42,West Chester,OH
45101,1,38.69,-83.74,Aberdeen,OH
45102,5,39.01,-84.2,Amelia,OH
45103,3,39.1,-84.2,Batavia,OH
45122,2,39.23,-84.12,Goshen,OH
45133,3,39.2,-83.5,Hillsboro,OH
45140,2,39.26,-84.24,Loveland,OH
45150,5,39.16,-84.23,Milford,OH
45152,1,39.35,-84.11,Morrow,OH
45156,2,38.811,-84.213,Neville,OH
45176,2,39.1,-84,Williamsburg,OH
45177,6,39.5,-83.8,Wilmington,OH
45202,2,39.11,-84.49,Cincinnati,OH
45204,32,39.1,-84.58,Cincinnati,OH
45205,643,39.11,-84.58,Cincinnati,OH
45206,4,39.13,-84.48,Cincinnati,OH
45207,7,39.15,-84.47,Cincinnati,OH
45209,3,39.15,-84.43,Cincinnati,OH
45211,132,39.16,-84.59,Cincinnati,OH
45212,32,39.16,-84.45,Cincinnati,OH
45213,17,39.18,-84.42,Cincinnati,OH
45214,18,39.12,-84.55,Cincinnati,OH
45215,65,39.24,-84.46,Cincinnati,OH
45216,293,39.2,-84.48,Cincinnati,OH
45217,2,39.17,-84.5,Cincinnati,OH
45218,1,39.27,-84.52,Cincinnati,OH
45219,18,39.13,-84.51,Cincinnati,OH
45220,11,39.15,-84.52,Cincinnati,OH
45223,68,39.17,-84.55,Cincinnati,OH
45224,12,39.2,-84.53,Cincinnati,OH
45225,2,39.14,-84.55,Cincinnati,OH
45226,1,39.11,-84.44,Cincinnati,OH
45227,5,39.16,-84.37,Cincinnati,OH
45229,15,39.15,-84.49,Cincinnati,OH
45230,1,39.07,-84.38,Cincinnati,OH
45231,49,39.26,-84.53,Cincinnati,OH
45232,34,39.18,-84.51,Cincinnati,OH
45236,17,39.21,-84.4,Cincinnati,OH
45237,20,39.19,-84.45,Cincinnati,OH
45238,130,39.11,-84.61,Cincinnati,OH
